1_47 2_5
1_43 1_43
4_77 1_94
4_74 4_74
1_2 2_67
0_8 1_78
3_14 2_16
2_87 2_87
3_11 3_11
3_12 3_12
1_31 1_31
4_9 4_9
1_35 1_35
1_39 2_47
4_6 0_87
1_55 3_91
1_59 1_59 4_90
0_58 1_25
0_46 0_46
3_62 1_27
3_67 4_54
3_95 3_95
3_91 3_91
3_99 4_30
3_98 3_98
1_1 1_1
1_64 1_64
1_65 1_65
1_68 4_9 0_95
4_18 2_71
3_74 0_46
4_97 1_29
4_90 4_90
2_71 2_71
2_79 2_79
2_11 0_37
1_78 1_78
1_77 1_77
1_73 0_72
4_85 3_95
4_80 3_1
0_50 3_12
4_88 4_88
0_79 1_43
2_67 2_67
0_72 0_72
0_76 1_59
0_77 4_88
3_50 3_50
3_59 0_93
0_93 0_93
0_95 0_95
4_30 4_30
3_1 3_1
0_67 1_65
0_60 1_64
0_63 2_79
2_4 2_4
2_5 2_5
2_56 1_35
2_53 0_89
0_89 0_89
1_11 1_11 3_84
0_87 0_87
4_28 3_69
2_33 3_50
3_20 2_87
0_18 0_18
2_48 1_11
2_41 3_98
2_42 1_77
2_47 2_47
2_46 0_18
4_54 4_54
4_57 4_57
2_24 4_57
3_34 1_31
3_38 3_38
1_94 1_94
2_60 2_60
4_43 1_1
3_88 2_60
4_47 3_11
4_45 4_45
4_48 1_29
2_16 2_16
3_84 1_11
2_94 4_74
3_69 3_69
0_37 0_37
0_32 3_38
1_27 1_27
1_25 1_25
1_20 2_4
1_21 4_45
1_29 1_29 4_97
